time,source,device_name,fragment.series,value,unit
2022-05-22T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-22T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-23T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-24T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-25T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-26T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-27T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-28T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-29T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-30T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T21:00:03.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-05-31T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-01T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-02T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-03T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T03:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T04:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T05:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T06:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T07:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T08:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T09:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T10:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T11:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T12:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T13:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T14:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T15:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T16:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T17:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T18:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T19:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T20:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T21:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T22:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-04T23:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-05T00:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-05T01:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
2022-06-05T02:00:02.000Z,283543599,SE_Vaksali22,dal.series,67.04,MWh
